clustering_algo,features,num_visual_words,eps,num_clusters,silhouette_score
dbscan,sift,80,0.41,2,0.054071
dbscan,sift,80,0.415,2,0.082039
dbscan,sift,80,0.42,2,0.112154
dbscan,sift,80,0.425,2,0.064137
dbscan,sift,80,0.43,2,0.092539
dbscan,sift,80,0.435,2,0.151037
dbscan,sift,80,0.44,2,0.151037
dbscan,sift,80,0.445,2,0.151037
dbscan,sift,80,0.45,2,0.151037
dbscan,sift,80,0.455,2,0.151037
dbscan,sift,80,0.46,2,0.151037
dbscan,sift,85,0.3,5,0.136153
dbscan,sift,85,0.305,5,0.146797
dbscan,sift,85,0.31,5,0.138761
dbscan,sift,85,0.315,6,-0.042814
dbscan,sift,85,0.32,5,0.096804
dbscan,sift,85,0.325,5,0.092325
dbscan,sift,85,0.33,6,0.088396
dbscan,sift,85,0.335,6,0.074685
dbscan,sift,85,0.34,6,0.076693
dbscan,sift,85,0.345,4,0.065582
dbscan,sift,85,0.35,3,0.037244
dbscan,sift,85,0.355,3,0.031837
dbscan,sift,85,0.36,3,0.031321
dbscan,sift,85,0.365,3,0.029223
dbscan,sift,85,0.37,4,-0.107518
dbscan,sift,85,0.375,4,-0.121509
dbscan,sift,85,0.38,3,-0.117932
dbscan,sift,85,0.385,2,0.044522
dbscan,sift,85,0.39,2,0.042083
dbscan,sift,85,0.395,2,0.042083
dbscan,sift,85,0.4,2,0.042802
dbscan,sift,85,0.405,2,0.039693
dbscan,sift,85,0.41,2,0.049604
dbscan,sift,85,0.415,2,0.071318
dbscan,sift,85,0.42,2,0.05663
dbscan,sift,85,0.425,2,0.07875
dbscan,sift,85,0.43,2,0.083107
dbscan,sift,85,0.435,2,0.118084
dbscan,sift,85,0.44,2,0.129259
dbscan,sift,85,0.445,2,0.15212
dbscan,sift,85,0.45,2,0.131581
dbscan,sift,85,0.455,2,0.131581
dbscan,sift,85,0.46,2,0.131581
dbscan,sift,90,0.3,4,-0.001781
dbscan,sift,90,0.305,4,-0.001162
dbscan,sift,90,0.31,4,-0.021025
dbscan,sift,90,0.315,4,0.050208
dbscan,sift,90,0.32,4,0.08885
dbscan,sift,90,0.325,5,-0.12501
dbscan,sift,90,0.33,6,-0.120704
